id,beds,price,abstract,city,state,create_date,expire_date
16809773,2,775,"Call now for a tour! 855-213-2228

WATERS LANDING . . . COUNTRY LIVING WITH COSMOPOLITAN CONVENIENCE. Imagine a meticulously landscaped courtyard, picnic areas, barbecues and a fully equipped fitness center - All designed to give Waters Landing that resort-style atmosphere. All of this and a ideal location near Loop 820, Highways 30 and 183 makes you close to the entire metroplex!

Call now for a tour! 855-213-2228

Directions:
From Loop 820, take John T. White Road exit. Go east and Water's landing will be on your right. From Arlington, take Cook's Lane exit, go north to John T. White Road, turn left and go 1.3 miles.

Prices and availability subject to change without notice. Square footage is approximated. For more information, please contact our leasing office directly.None",Fort Worth,TX,06/19/2014 06:43:01.570066,07/22/2014 10:15:40.452517
17102205,1,724,"Located in the Westchase District of Houston, Texas, the Aberdeen Apartments is a magnificent community where tranquility and comfort are a way of life. At the Aberdeen Apartments, you can relax by one of our three sparkling swimming pools, go for a swim, exercise in our 24 hour state-of-the-art fitness center, or join friends and neighbors for a game of tennis or sand volleyball. The Aberdeen Apartments features 14 distinctive floor plans designed for style and comfort. Conveniently located on Richmond Avenue between Briapark and Gessner, the Aberdeen Apartments is just moments away from shopping, entertainment, and a variety of restaurants. Experience all this and much more. Call The Aberdeen Apartments your home, today!None",Houston,TX,07/04/2014 10:16:21.888773,07/05/2014 10:15:24.904226
17860015,2,2395,"Let's get to the good stuff.  


Our VIDEO TOUR is the first place you should start.
http://youtu.be/XZsBmp4WF9Y/ 


(855) 592-8881


Innovative, flexible, modern, authentic loft living in the Historic District of downtown Anaheim; welcome to Harbor Lofts.


This hip mid-rise live and work loft community boasts amenities, location, an innovative design and remarkable flexibility. Professionals will appreciate the convenience and comfort of Harbor Lofts and the easy access to work or play. Park your car, save on gas, because East Coast living has made it to Southern California.


Harbor Lofts consist of contemporary open floor plans with 1600 square feet of versatile space. Create the floor plan that best suites your home or office or both. Inside these creative spaces you'll find concrete flooring, upgraded gourmet kitchens with stainless steel appliances and stone counter tops, contemporary lighting designs, and washer dryer units.  


http://www.flickr.com//photos/66545593@N02/sets/72157629318889662/show/More Photos are available here.


http://www.facebook.com/Promenade.at.Anaheim/ We are on Facebook!


Within the property residents can bring work or play outside of their lofts to the manicured courtyard, which has a heated pool, spa, and community BBQ. Also, a fully equipped fitness center awaits and we have convenient secure underground parking. 


You won't need your car, as everything you could ever need is just steps away.  Stores, schools, restaurants, banks, churches and Pearson Park surround the Harbor Loft Apartments of Anaheim.  You're in the heart of Downtown Anaheim, and it's a city steeped with old-world charm.  There's a weekly Anaheim Farmer's Market and a monthly Antique market that reflects the past and the future thriving side by side. 


(855) 592-8881


A quick legal notice: All pricing and promotions subject to change without notice.  Please call the leasing office for daily rates and specials!


The rest of this text is just for Craig to be able to find our ad. No need to read further:



A quick legal notice: All pricing and promotions subject to change without notice.  
Please call the leasing office for daily rates and specials!

Apartment, Anaheim, Southern, California, Promenade Lofts, Promenade at Anaheim, Downtown Anaheim, Lofts, Apartments, Rental, Units, one, two, studio, bedroom, Downtown Disney, Anaheim Garden Walk, Disneyland, property management, CIM Group, GoToMyApartment.com, apartment tour, apartment video, virtual tour, Garden Grove, Orange, Fullerton, Buena Park, Santa Ana, Tustin, Placentia, 92805, Pearson Park, Muzeo Museum, Orange County Apartments, granite, 160 West Center Street Promenade, Anaheim, CA, 92805 ~*~None",Anaheim,CA,08/12/2014 07:45:50.570992,08/20/2014 10:17:09.505251
16722129,2,1395,"  SPECIAL!  Rent with us today and receive May Rent Free, PLUS choose your move-in bonus!* 

 
	 $500 Gift Card for Best Buy 
	 $500 Gift Card for Loblaws 
	 $500 Gift Card for IKEA 
 

 The Envoy Apartments, a beautifully maintained six-storey low-rise rental property, is located just a ten minute walk from the city s downtown core and offers bachelor, one, and two bedroom apartments for rent in Ottawa. The spacious units feature freshly painted walls, hardwood and laminate flooring, and kitchens complete with fridges and stoves. Enjoy a great view of Ottawa on the roof top patio, or take a dip in the building s private outdoor pool. Secure entrances, on-site laundry facilities, renovated common areas, and storage rooms further provide for comfortable apartment living. 

 This downtown Ottawa rental building is close to many amenities, including public transportation, grocery, restaurants, shops, and schools, making the building ideally situated for convenience. The Envoy is also just a five minute walk from the University of Ottawa, and is located close to the Highway 417, making it convenient for students and young professionals alike. 

  Enjoy all the perks of apartment living along with these features and amenities:  

  Secure access building 
 Renovated Common Areas 
 On-site Laundry 
 Outdoor Pool 
 Rooftop Deck 
 Onsite Laundry and Storage Rooms 
 24 Hour Emergency Service 

 *E.  O.E. See rental agent for details.   for more detail click   here      Pictures & virtual tours may vary, please contact the rental agent for specific details and to view the unit. E     Spring into June Savings! Get June  Off OR a $500 Gift Card!  

 The Envoy Apartments, a beautifully maintained six-storey low-rise rental property, is located just a ten minute walk from the city s downtown core and offers bachelor, one, and two bedroom apartments for rent in Ottawa. The spacious units feature freshly painted walls, hardwood and laminate flooring, and kitchens complete with fridges and stoves. Enjoy a great view of Ottawa on the roof top patio, or take a dip in the building s private outdoor pool. Secure entrances, on-site laundry facilities, renovated common areas, and storage rooms further provide for comfortable apartment living. 

 This downtown Ottawa rental building is close to many amenities, including public transportation, grocery, restaurants, shops, and schools, making the building ideally situated for convenience. The Envoy is also just a five minute walk from the University of Ottawa, and is located close to the Highway 417, making it convenient for students and young professionals alike. 

  Enjoy all the perks of apartment living along with these features and amenities:  

  Secure access building 
 Renovated Common Areas 
 On-site Laundry 
 Outdoor Pool 
 Rooftop Deck 
 Onsite Laundry and Storage Rooms 
 24 Hour Emergency Service 

 *E.  O.E. See rental agent for details.   for more detail click   here      Pictures & virtual tours may vary, please contact the rental agent for specific details and to view the unit. E     Spring into June Savings! Get June  Off OR a $500 Gift Card!  

 The Envoy Apartments, a beautifully maintained six-storey low-rise rental property, is located just a ten minute walk from the city s downtown core and offers bachelor, one, and two bedroom apartments for rent in Ottawa. The spacious units feature freshly painted walls, hardwood and laminate flooring, and kitchens complete with fridges and stoves. Enjoy a great view of Ottawa on the roof top patio, or take a dip in the building s private outdoor pool. Secure entrances, on-site laundry facilities, renovated common areas, and storage rooms further provide for comfortable apartment living. 

 This downtown Ottawa rental building is close to many amenities, including public transportation, grocery, restaurants, shops, and schools, making the building ideally situated for convenience. The Envoy is also just a five minute walk from the University o",Ottawa,ON,06/15/2014 10:18:16.221786,07/05/2014 10:16:37.783382
16984003,2,1110,"Cornell 55 consists of two historic buildings located on the tree-lined avenue named for Paul Cornell, who initiated the development of Hyde Park in 1853. Experience the craftsmanship of early 20th century architectural details: hand-laid, Arts & Crafts style mosaic floors, carved-wood banisters and wrought-iron balustrades marked by the flowery emblems of the Art Nouveau style. The surrounding streetscape is referred to by residents as ""Restaurant Row"", a variety of international cuisines for every palette, and also includes neighborhood retail stores to fulfill your daily needs. * With bright, updated interiors and natural hardwood floors throughout, a Cornell 55 apartments an ideal space to make your home. Large windows gathering light from airy courtyards illuminate the interior and give natural ventilation. Limited on-site parking is available, and nearby public transportation and major highways, coupled with the University of Chicago's complimentary shuttle service, make the propNone",Chicago,IL,06/27/2014 10:17:45.513226,07/03/2014 10:15:46.999123
17086146,2,1450," This quiet, three-storey walk-up building is conveniently located on Strathcona in the Glebe and offers 1 and 2 bedroom apartments for rent in Ottawa. The spacious units feature freshly painted walls, new hardwood laminate throughout, and recently renovated two appliance kitchens. These Ottawa rental apartments offer secure entranceways, 24-hour emergency service, and laundry facilities. Street parking is available through the City of Ottawa. 

 In a trendy Glebe area, 19 Strathcona is close to Queen Elizabeth Drive and is just ten minutes from Parliament Hill and the Rideau Center. These Ottawa rental apartments are also in close proximity to public transportation, restaurants, shopping, schools, public parks, and biking and jogging paths. The Highway 417 is also close by, allowing for easy access to anywhere in the city. 

  Enjoy all the perks of apartment living along with these features and amenities:  

  Secure entranceways 
 Renovated units 
 Two appliance kitchens 
 On-site laundry facilities 
 Street parking available through the City of Ottawa 
 24-hour emergency service   for more detail click   here      Pictures & virtual tours may vary, please contact the rental agent for specific details and to view the unit. E  None",Ottawa,ON,07/03/2014 10:15:35.665686,08/02/2014 16:35:29.636056
17102189,2,640,"Welcome to Ashford Villas Apartment Homes in Griffin, Georgia! Our community offers brand new renovated town homes and an amazing park like atmosphere in a great location.
Our spacious apartment homes offer unique floor plans, washer and dryer connections, huge closets, and patios for entertaining.
We are located only 1.8 miles from University of Georgia in Griffin and 1 mile from Southern Crescent Technical College.
Come home to Ashford Villas!None",Griffin,GA,07/04/2014 10:15:26.068715,08/04/2014 14:08:36.254661
17027628,2,1349,"With its commanding presence along the corner of South Drexel and 49th Street, this building blends a myriad of architectural features: Red, ""Chicago"" brick and sandstone-detailed corners grace the facade, while dual projected semi-circle bay windows draw the eye upward toward the balustrade, flanked by Grecian urns, capping the edifice. A wrought-iron gate enclosing the landscaped estate adds to the distinguished and majestic character of this property.None",Chicago,IL,06/30/2014 09:38:34.026248,07/12/2014 10:17:44.60908
16437543,2,2000,"Two bedroom, one bath in St. Ben's walkup features separate living and dining rooms, new kitchen, dishwasher, microwave, new bath, A/C, hardwood floors, large bedrooms with good closet space, pets OK, great neighborhood!None",Chicago,IL,06/05/2014 10:17:26.634426,07/12/2014 10:16:29.681986
16816913,1,950," Rosebery Apartments is a four storey walk-up building in an excellent Glebe location, offering 1 and 2 bedroom apartments for rent in Ottawa. The spacious units feature freshly painted walls, two appliance cherry-cabinet kitchens, bright windows, and new ceramic and hardwood flooring. Selected units offer fireplaces. The building itself features on-site laundry facilities, secure entranceways, and 24-hour emergency service. 
 Rosebery Apartments are conveniently located in the heart of the Glebe just off of Bank Street. These Ottawa rental apartments are only 10 minutes from Parliament Hill and Rideau Center and are near all amenities including schools, restaurants and shops. Commutes to work and school are also made easy due to the building s proximity to the Highway and public transportation. 
  Enjoy all the perks of apartment living along with these features and amenities: 
  
  Secure entranceways 
 Renovated units 
 Two appliance kitchens 
 On-site laundry facilities  
 Street parking available through the City of Ottawa  
 24-hour emergency servic e    for more detail click   here      Pictures & virtual tours may vary, please contact the rental agent for specific details and to view the unit. E  None",Ottawa,ON,06/19/2014 10:17:32.753844,06/22/2014 10:19:53.955149
